Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12
125.1456008126,126.5034630715,110.7167263544,1.1425867368,1.0108502596,0.8847033027,-143085,-8641,10650,0.9811459312,0.9789282373,0.9580557658
105.1885953708,105.9953920782,102.8395010922,1.0306875369,1.0076700017,0.9776677855,-1526425,-1153889,-425536,0.9945115818,0.9944608984,0.9867196276
109.9177644211,100.839716928,90.8176563881,1.1103536574,0.917410552,0.8262327465,-19313,-3251,-329588,0.9363973925,0.9774486427,0.874746118
112.3661942937,116.7050413852,107.507971459,1.0855477952,1.0386134559,0.9567643733,-1605643,-1885586,-1894163,0.955017978,0.9533348,0.9725363254
137.6047951878,131.171469301,128.0990019772,1.0239850996,0.9532478074,0.9309196079,-570,-1514,-80440,0.9334451203,0.9891779857,0.9289305698
124.6037310498,126.8247114902,121.3834035416,1.0448274458,1.0178243494,0.9741554488,-2490,4,827,0.9922451883,0.9898864976,0.986675824
142.0971658112,138.908182988,121.5803994951,1.1425211923,0.977557731,0.8556145283,-1195604,-1362970,-1366058,0.9430602633,0.9256984602,0.9190202179
122.641749138,121.7897813499,96.7162327923,1.2592486063,0.9930531993,0.7886077414,-34134,-172,-252,0.958702995,0.912424876,0.8923391282
115.8685124327,115.1637616778,92.2242040048,1.2487368465,0.9939176681,0.7959384484,-31014,-1898,-5552,0.9524666629,0.9237881578,0.8942853706
165.2348483429,153.9757054856,142.6113720976,1.0796874276,0.9318597562,0.8630829001,134,491,-70837,0.9555136815,0.9796931733,0.9521925878
149.1092021505,143.7458228457,107.7235370179,1.3343956838,0.9640305278,0.7224472767,-51021,-72106,-798578,0.934379183,0.9300480894,0.8848061653
150.8067723785,149.2596594331,127.6873952054,1.1689459182,0.9897410911,0.8466953651,-3248,-1067,-1082,0.9727899474,0.9625005579,0.9452236947
154.8462584954,141.211974679,124.7780147643,1.1317055729,0.9119495431,0.8058187261,-256,-157,-1016,0.9479363481,0.9837173826,0.9139462886
142.5370921969,136.6313045261,126.8606767546,1.0770185689,0.9585666609,0.8900186948,-165,33,-10,0.9711805126,0.9870680133,0.9479879763
161.9151782544,153.1520437497,144.4057699174,1.0605673432,0.9458782395,0.8918606117,-2,1,-252,0.9647426031,0.986957263,0.9442193863
167.6781155808,152.5007129321,138.2775198871,1.1028597639,0.9094848926,0.8246605075,-139,-3,-8,0.9421659268,0.9727177505,0.9099202174
165.5899128733,157.831609688,142.4925248976,1.1076483472,0.9531474892,0.860514523,-126,-1,-99,0.9579256743,0.9648404601,0.9360248676
