Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12
97.9512315,114.8609359,103.5388715,1.109350858,1.172633914,1.057045123,9676,254,-516994,0.968532264,0.963856934,0.939106792
82.12054201,86.20293379,88.85753721,0.970125175,1.049712187,1.08203788,-291807,-89160,-125413,0.994738495,0.985885274,0.976739164
101.4577123,98.42534114,94.36313403,1.043048667,0.97011197,0.930073544,-5495,-6447,-212600,0.94725368,0.966433258,0.885308548
73.23150027,80.0306839,75.89865556,1.05444139,1.092845068,1.036420875,-177400,-117327,-33797,0.974169917,0.964175417,0.968973878
110.2224218,108.9652432,109.1294547,0.99849526,0.988594166,0.990083985,4,0,1028,0.963505995,0.988593369,0.955919503
125.9764014,129.546743,120.7454365,1.072891422,1.028341353,0.958476629,-271,-260,-119352,0.990286227,0.97384267,0.976628771
106.3122051,104.1258052,84.32974484,1.234745882,0.979434159,0.793227313,-2136,-1288,-582415,0.938203183,0.881046709,0.880025659
95.46451063,98.21740603,74.69231774,1.314959945,1.028836846,0.782409267,-769,0,-700174,0.960375797,0.889450036,0.88429084
131.540557,131.9811893,104.9430018,1.257646408,1.003349782,0.797799585,-24713,-8685,-26981,0.93529894,0.889251291,0.874021862
115.7596066,112.5914379,103.8163358,1.084525253,0.972631484,0.896826958,711,0,-145899,0.956145369,0.97612446,0.939641888
112.3553277,111.1896436,72.22584,1.539471796,0.989625022,0.642834136,-657,-5168,-774562,0.913935153,0.904069784,0.850079302
119.6816269,120.9925348,101.2047527,1.195522261,1.010953293,0.845616452,13,0,-255210,0.965237627,0.947461018,0.925583861
121.4247876,114.6011313,104.4589999,1.097091983,0.943803432,0.860277394,69,0,-130048,0.943758624,0.978942383,0.917674692
131.8797516,133.6515757,125.386919,1.065913229,1.013435149,0.950767024,0,5,-38843,0.966594363,0.978261777,0.937192693
112.4978436,108.8886666,103.5233231,1.051827389,0.967917812,0.920224956,8,0,-40895,0.961924551,0.982476902,0.934733492
114.0035028,107.2517996,99.81528222,1.074502793,0.940776352,0.875545748,14,0,-18671,0.940732115,0.969529336,0.906670617
129.5697608,127.4486585,114.0986492,1.117004096,0.983629651,0.880596279,8,0,-46934,0.946687493,0.95188649,0.919073354
112.8774131,110.227868,96.50838512,1.142158455,0.976527234,0.854984026,0,0,-66689,0.924636568,0.939785869,0.860157891
119.5772268,108.8445015,96.99873019,1.122122952,0.910244403,0.81118063,-772,-9674,-100529,0.943979159,0.969626601,0.907085718
113.689094,111.4793089,98.21937269,1.135003267,0.980562911,0.863929593,0,0,-97588,0.979955917,0.966901713,0.953516758
124.6910803,123.7989926,102.2926271,1.210243554,0.992845618,0.820368441,0,0,-47598,0.935839435,0.877465636,0.852089325
114.1322041,114.5912235,101.7247444,1.126483278,1.004021823,0.891288705,-361,-551,-58324,0.918337241,0.949640524,0.882583237
101.8496538,112.1701377,61.91924154,1.811555421,1.101330574,0.607947492,-2405,-2099,-658353,0.986623449,0.804771754,0.843521998
127.3927794,99.40746521,77.15678427,1.288382689,0.780322603,0.605660577,3,-39,-573263,0.915992692,0.883392367,0.882051655
109.8207433,104.9939312,92.66670369,1.133027582,0.956048266,0.84379964,-253,-1048,-310593,0.940682691,0.951934285,0.929780096
120.2185093,112.7962051,109.0770065,1.034096999,0.938259889,0.9073229,0,0,-90,0.953866791,0.985010107,0.904800443
94.19155933,90.3680697,82.45730413,1.095937718,0.959407301,0.875421372,620,-1153,-218677,0.897910945,0.961848531,0.825957859
