f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12
115.03,113.44,109.88,1.1214,0.96344,0.88919,116.04,114.44,110.88,0.98118,0.96749,0.95483
113.97,112.95,109.98,1.0959,0.977,0.92073,114.98,113.95,110.99,0.98748,0.97684,0.96913
77.567,75.927,67.048,1.282,0.97039,0.7668,78.567,76.927,68.048,0.96503,0.94548,0.88716
85.368,81.794,70.776,1.3348,0.92508,0.6972,86.368,82.794,71.776,0.97028,0.94772,0.89659
102.75,100.76,95.331,1.166,0.96183,0.84911,103.77,101.76,96.36,0.98455,0.97259,0.95115
105.96,104.08,99.272,1.144,0.96341,0.86725,106.97,105.09,100.28,0.98846,0.97863,0.96071
81.747,82.283,74.675,1.2204,1.0259,0.8557,82.747,83.283,75.675,0.96962,0.96812,0.91691
83.401,83.455,75.165,1.2372,1.0133,0.83266,84.401,84.455,76.165,0.97448,0.96988,0.92305
154.36,155.88,157.67,0.9811,1.0195,1.0401,155.36,156.88,158.67,0.74034,0.77096,0.70219
176.85,178.92,181.48,0.97197,1.0235,1.0531,177.85,179.92,182.48,0.34208,0.44391,0.24874
137.93,138.07,138.98,0.98731,1.0021,1.015,138.93,139.07,139.98,0.99692,0.99693,0.9952
175.67,176.89,179.05,0.97596,1.0141,1.0391,176.67,177.89,180.05,0.96036,0.95027,0.94354
99.866,106.54,113.31,0.89832,1.1245,1.2605,100.9,107.54,114.31,0.99208,0.99236,0.98081
107,114.98,122.93,0.88318,1.1448,1.3011,108.05,115.98,123.93,0.99293,0.99223,0.98217
94.079,99.077,103.81,0.93231,1.0908,1.1882,95.102,100.08,104.81,0.99151,0.99276,0.98003
123.51,133.46,143.14,0.87247,1.1637,1.3359,124.51,134.46,144.14,0.98912,0.99227,0.98071
112.62,120.27,127.97,0.89646,1.1273,1.265,113.62,121.27,128.97,0.99057,0.99035,0.97783
115.28,123.66,131.71,0.88842,1.144,1.2915,116.29,124.66,132.71,0.99269,0.99106,0.98138
101.33,107.79,114.75,0.88124,1.1333,1.2879,102.33,108.79,115.75,0.99702,0.99446,0.98889
88.107,93.379,98.76,0.8985,1.1076,1.2363,89.117,94.379,99.764,0.99154,0.99108,0.97635
104.52,103.79,104.9,0.98674,0.985,1.0097,105.52,104.79,105.9,0.93931,0.93068,0.9149
109.8,111.86,111.15,1.0265,1.0379,1.0219,110.8,112.86,112.15,0.91723,0.91614,0.88879
185.57,194.13,203.68,0.90841,1.0944,1.2047,186.57,195.13,204.68,0.98766,0.9885,0.98252
140.97,140.53,139.73,1.0883,0.96011,0.92008,141.97,141.53,140.73,0.92402,0.89896,0.84642
119.56,111.8,105.93,1.1044,0.89396,0.82166,120.56,112.8,106.93,0.90491,0.90928,0.84457
101.13,95.099,90.886,1.0737,0.91016,0.86197,102.13,96.099,91.886,0.90867,0.89919,0.8671
111.78,109,110.1,0.98059,0.9575,0.97704,112.78,110,111.1,0.95552,0.968,0.9458
97.462,92.752,90.831,1.0318,0.92785,0.91046,98.462,93.752,91.831,0.92426,0.90772,0.87609
108.04,114.79,119.28,0.94926,1.1291,1.194,109.04,115.79,120.28,0.93227,0.94614,0.91164
102.63,108.62,112.72,0.94582,1.1146,1.1865,103.82,109.62,113.74,0.96734,0.97015,0.94834
166,176.68,185.53,0.90691,1.1327,1.249,167,177.68,186.53,0.79089,0.82836,0.735
175.16,187.76,199.1,0.88948,1.1491,1.2921,176.16,188.76,200.1,0.81725,0.78537,0.73287
98.327,104.22,107.87,0.95658,1.1278,1.185,99.327,105.22,108.87,0.94292,0.94804,0.91972
87.362,90.765,92.687,0.96997,1.0859,1.1379,88.458,91.767,93.695,0.9792,0.97892,0.95832
170.96,180.74,188.86,0.91591,1.1177,1.2204,171.96,181.74,189.86,0.8683,0.87662,0.8371
157.74,167.11,174.97,0.91211,1.1222,1.2308,158.89,168.11,175.97,0.96082,0.97392,0.95441
131.79,119.04,107.68,1.4129,0.84108,0.62876,132.45,119.98,108.62,0.80739,0.85209,0.80539
91.931,79.664,62.311,1.828,0.79592,0.46337,92.643,80.624,63.278,0.93528,0.95528,0.89169
185.42,171.72,167.22,1.0546,0.85769,0.81344,186.42,172.72,168.22,0.48759,0.46052,0.46338
154.63,141.18,130.98,1.2091,0.83412,0.70305,155.63,142.18,131.98,0.98177,0.98923,0.98008
87.539,82.978,70.199,1.666,0.98689,0.63038,88.409,83.958,71.232,0.91245,0.96657,0.90642
66.157,63.547,48.697,1.905,1.0114,0.55572,66.885,64.528,49.744,0.94796,0.96762,0.92122
140.49,133.36,123.99,1.2246,0.92092,0.76339,141.11,134.29,124.94,0.9103,0.95089,0.87403
89.474,85.93,70.444,1.6721,0.94351,0.60567,90.417,86.942,71.514,0.97933,0.98285,0.95702
78.818,63.211,51.82,1.6056,0.70248,0.42446,79.311,64.166,52.792,0.79311,0.92504,0.82024
51.76,54.544,39.609,1.9409,1.1538,0.59838,52.667,55.544,40.601,0.89569,0.90837,0.89933
82.778,81.74,58.611,2.1445,1.0729,0.52053,82.882,82.72,59.332,0.92164,0.93599,0.90588
74.904,73.187,57.083,1.7477,1.1215,0.6627,74.771,74.155,57.741,0.93788,0.92144,0.89007
127.1,114.5,97.743,1.4791,0.83705,0.57597,127.66,115,98.164,0.92248,0.80883,0.84466
97.969,87.208,71.138,1.5753,0.82074,0.53104,98.722,88.009,71.949,0.97177,0.96357,0.93821
148.54,130.02,114.17,1.297,0.76618,0.59078,149.54,131.02,115.17,0.81801,0.50471,0.60981
144.41,127.81,111.16,1.3331,0.78653,0.59073,145.41,128.81,112.18,0.94236,0.80556,0.85255
99.917,90.776,73.472,1.707,0.86574,0.52482,100.65,91.445,74.131,0.95371,0.92535,0.91097
91.515,82.714,66.391,1.6603,0.85827,0.52962,91.97,83.205,66.907,0.96503,0.95547,0.92841
153.15,139.02,124.96,1.2905,0.82509,0.64863,152.99,138.53,124.29,0.95478,0.88609,0.91301
104.58,93.668,73.167,1.7452,0.81471,0.48833,105.58,94.668,74.306,0.98126,0.96324,0.9303
60.062,42.45,36.066,1.3625,0.56433,0.38582,60.509,43.308,36.948,0.80019,0.86446,0.79974
33.754,31.084,24.635,1.645,0.93244,0.56257,34.586,31.973,25.53,0.93239,0.84416,0.84365
72.764,64.86,55.027,1.4842,0.82596,0.55868,72.059,64.403,54.676,0.98064,0.9345,0.93355
64.253,60.075,52.17,1.557,0.95944,0.62284,62.953,58.703,50.682,0.96205,0.83591,0.86959
107.33,111.99,92.151,1.817,1.1887,0.70167,108.33,112.99,93.151,0.93956,0.89416,0.91418
120.8,125.08,105.11,1.6974,1.133,0.724,121.8,126.08,106.11,0.96334,0.95279,0.96822
67.385,74.226,57.041,2.345,1.3662,0.65111,68.385,75.226,58.041,0.9089,0.76789,0.84228
193.81,189.47,184.65,1.0536,0.95551,0.90711,194.81,190.47,185.65,0.83456,0.84209,0.82207
97.851,104.28,82.636,1.9165,1.2215,0.68381,98.851,105.28,83.638,0.94484,0.92404,0.93715
106.07,111.1,89.555,2.0627,1.1976,0.66632,107.07,112.1,90.556,0.9632,0.93899,0.9521
68.775,76.917,59.914,2.0545,1.4111,0.71899,69.775,77.917,60.914,0.95827,0.93426,0.96155
91.893,102.03,70.234,2.8557,1.3326,0.53245,92.893,103.03,71.234,0.91949,0.88915,0.92215
80.995,88.522,47.119,4.4257,1.2288,0.32138,81.995,89.522,48.12,0.83654,0.61366,0.70277
114.4,118.63,80.173,3.5889,1.1556,0.42083,115.4,119.63,81.173,0.85352,0.77437,0.80424
