f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12
129.58,118.91,112.39,1.1238,0.85779,0.7803,130.58,119.91,113.39,0.97634,0.97014,0.92186
128.71,117.57,110.41,1.1347,0.85198,0.76659,129.71,118.57,111.41,0.97886,0.9714,0.92855
138.44,131.44,127.32,1.0825,0.91245,0.87085,139.44,132.44,128.32,0.9494,0.9451,0.83543
131.14,124,119.16,1.0977,0.90811,0.85821,132.14,125,120.16,0.95199,0.93391,0.81582
75.374,67.811,63.859,1.1474,0.82397,0.75017,76.374,68.811,64.859,0.96298,0.96209,0.89646
74.668,66.649,62.402,1.1606,0.81139,0.73018,75.668,67.649,63.403,0.95341,0.96217,0.87335
66.439,51.53,45.259,1.2939,0.59973,0.46355,67.439,52.53,46.259,0.98761,0.96931,0.96028
69.318,53.47,47.187,1.2836,0.59476,0.46355,70.318,54.47,48.187,0.98703,0.97927,0.96367
172.69,171.33,177.48,0.91303,0.97689,1.0739,168.79,166.26,171.59,0.99866,0.99845,0.99536
161.99,159.98,165.77,0.90731,0.96784,1.0756,158.49,156.13,160.99,0.99531,0.98901,0.97579
170.4,168.02,172.7,0.94418,0.97093,1.0286,157.7,155.54,160.23,0.99866,0.99845,0.99536
120.18,116.78,124.59,0.87699,0.94073,1.074,117.6,114.08,121.46,0.99531,0.98901,0.97579
105.78,113.91,134.81,0.70771,1.1392,1.6098,106.78,114.91,135.81,0.96738,0.96341,0.92175
103.57,108.97,127.64,0.73499,1.0495,1.4462,104.57,109.97,128.64,0.94025,0.94689,0.8797
142.22,155.46,180.73,0.73987,1.195,1.6153,143.22,156.46,181.73,0.92661,0.87806,0.84633
144.8,157.14,181.56,0.74904,1.1781,1.5731,145.8,158.14,182.56,0.92642,0.86428,0.77981
117.38,128.46,149.42,0.74602,1.1828,1.5993,118.38,129.46,150.42,0.93259,0.88679,0.83455
125.45,138.43,160.76,0.74063,1.2176,1.6454,126.45,139.43,161.76,0.91996,0.87686,0.82295
134.27,146.07,167.39,0.76143,1.1834,1.5543,135.27,147.07,168.39,0.85915,0.74829,0.7239
134.24,146.68,167.8,0.76404,1.194,1.5627,135.24,147.68,168.8,0.84811,0.75876,0.7285
148.94,147.16,158.71,0.87938,0.94079,1.0995,149.94,148.16,159.71,0.95591,0.94932,0.88626
109.63,78.178,68.197,1.3127,0.50761,0.38751,110.63,79.178,69.197,0.87479,0.85093,0.80725
133.91,128.15,135.66,0.91046,0.91161,1.0238,134.91,129.15,136.66,0.98963,0.99341,0.97361
113.02,78.31,67.072,1.3609,0.47873,0.35191,114.02,79.31,68.072,0.88114,0.85103,0.8458
135.61,140.25,160.8,0.74123,1.0626,1.4575,136.61,141.25,161.8,0.95993,0.95514,0.93753
144.76,149.15,169.84,0.76555,1.0583,1.3862,145.76,150.15,170.84,0.94689,0.93497,0.90124
165.25,171.17,193.74,0.78059,1.0729,1.3745,166.25,172.17,194.74,0.93266,0.89692,0.85269
168.46,175.67,199.31,0.77682,1.0881,1.4015,169.46,176.67,200.31,0.93878,0.86534,0.80437
148.36,157.46,178.56,0.77767,1.126,1.4481,149.36,158.46,179.56,0.8857,0.87788,0.81933
149.05,159.88,182.25,0.76975,1.1509,1.4962,150.05,160.88,183.25,0.90717,0.86948,0.81343
154.78,165.12,187.85,0.77268,1.1383,1.4735,155.78,166.12,188.85,0.92683,0.81596,0.73388
148.85,161.65,185.91,0.75593,1.1815,1.566,149.85,162.65,186.91,0.9207,0.82697,0.75692
123.96,118.19,123.86,0.91302,0.91299,1.0105,124.96,119.19,124.86,0.95544,0.96556,0.90846
116.95,108.08,111.21,0.94112,0.86205,0.92787,117.95,109.08,112.21,0.95944,0.95471,0.89989
141.85,127.32,127.44,1.0024,0.80734,0.81097,142.85,128.32,128.44,0.90714,0.94434,0.81708
131.22,117.63,117.77,0.99546,0.80628,0.81148,132.22,118.63,118.77,0.94648,0.94956,0.88853
158.06,144.92,147.31,0.96777,0.84069,0.86887,159.06,145.92,148.31,0.66156,0.59261,0.62492
157.48,143.28,144.45,0.98715,0.8266,0.83967,158.48,144.28,145.45,0.72799,0.64675,0.6677
156.87,145.4,148.48,0.95899,0.85922,0.89604,157.87,146.4,149.48,0.68101,0.56303,0.63787
157.91,146,148.44,0.96735,0.85485,0.88371,158.91,147,149.44,0.72481,0.60145,0.69125
131.56,112.79,110.83,1.182,0.71733,0.69208,132.02,113.26,111.76,0.81897,0.79084,0.72969
88.833,77.923,73.312,1.6703,0.75325,0.5729,89.832,78.928,74.347,0.91775,0.90568,0.88428
145.47,134.07,139.55,0.92299,0.84943,0.92032,146.47,135.07,140.55,0.73666,0.58115,0.65005
145.14,133.91,138.69,0.93229,0.85127,0.91309,146.14,134.91,139.69,0.76419,0.56854,0.60668
141.39,136.76,130.39,1.2457,0.94936,0.80099,142.39,137.76,131.39,0.96353,0.98243,0.97478
104.47,86.72,64.728,1.9204,0.77123,0.41045,104.15,86.753,65.379,0.8909,0.93571,0.86501
173.23,167.74,166.62,1.076,0.92611,0.88731,174.23,168.74,167.62,0.98237,0.9928,0.98021
65.542,67.82,46.462,2.1507,1.0753,0.50422,66.502,68.788,47.49,0.95719,0.88183,0.88483
155.16,140.64,142.85,0.97043,0.82156,0.84762,156.16,141.65,143.85,0.66756,0.59365,0.66285
146.62,129.59,128.43,1.0714,0.77296,0.75421,147.38,130.39,129.42,0.79428,0.73742,0.73085
154.53,141.87,144.9,0.95854,0.84294,0.87948,155.53,142.87,145.9,0.68693,0.59964,0.61544
155.77,142.39,145.14,0.96256,0.83561,0.86811,156.77,143.39,146.14,0.68396,0.6152,0.65974
226.92,201.72,169.87,1.4108,0.79021,0.56023,227.91,202.72,170.87,0.94424,0.79746,0.87512
224.37,200.71,169.7,1.405,0.79718,0.56963,225.16,201.54,170.63,0.96356,0.88187,0.90786
221.14,196.85,164.13,1.4385,0.79231,0.55082,222.14,197.85,165.13,0.96372,0.8554,0.91825
224.5,200.05,167.76,1.4221,0.79405,0.55838,225.5,201.05,168.76,0.97297,0.84693,0.90084
223.86,195.22,162.08,1.4719,0.75628,0.52098,224.25,195.87,163,0.95375,0.9439,0.92814
170.09,147.42,116.97,1.6124,0.73642,0.45902,171.09,148.42,117.97,0.98836,0.96133,0.97007
220.08,190.1,154.13,1.5213,0.7461,0.49043,221.08,191.1,155.13,0.9343,0.8941,0.92294
219.31,192.91,154.62,1.5568,0.77372,0.49706,220.31,193.91,155.62,0.95063,0.89993,0.92571
169.4,144.86,119.29,1.4526,0.71951,0.49659,170.4,145.86,120.29,0.99567,0.98122,0.97784
177.27,141.1,133.58,1.1691,0.61303,0.53795,177.29,141.63,134.56,0.99603,0.95334,0.98117
193.72,167.86,136.33,1.5124,0.74778,0.49527,194.72,168.86,137.33,0.99603,0.98517,0.98117
105.78,80.521,65.39,1.5109,0.58243,0.39177,106.76,81.521,66.39,0.95718,0.949,0.91488
96.341,94.575,94.49,2.0438,1.0179,0.8259,97.341,95.575,95.49,0.84932,0.80239,0.82793
115.94,113.95,117.03,1.6603,1.0111,0.9187,116.94,114.95,118.03,0.75183,0.71144,0.76125
139.59,136.57,144.41,0.89445,0.95728,1.0703,140.59,137.57,145.41,0.61643,0.54818,0.63959
141,137.76,145.39,0.8978,0.95459,1.0633,142,138.76,146.39,0.51882,0.5803,0.63256
62.648,65.901,52.449,3.7932,1.253,0.53936,63.648,66.901,53.451,0.88864,0.78357,0.81626
111.52,111.07,105.58,1.7092,1.0278,0.81461,112.52,112.07,106.59,0.91411,0.90288,0.91469
73.469,73.828,68.214,3.298,1.1422,0.62909,74.469,74.828,69.217,0.85232,0.70099,0.78989
152.55,149.98,156.19,0.92204,0.96662,1.0484,153.55,150.98,157.19,0.7501,0.72569,0.77895
105.03,105.44,92.308,2.4091,1.0508,0.66884,106.03,106.44,93.31,0.96684,0.94466,0.95812
140.23,140.08,134.91,1.6248,1.0276,0.81944,141.23,141.08,135.91,0.95974,0.91733,0.93827
158.72,155.85,161.99,0.94582,0.95995,1.0209,159.72,156.85,162.99,0.96984,0.95713,0.96822
207.43,204.08,215.5,0.89691,0.96796,1.0792,208.43,205.08,216.5,0.69304,0.89088,0.62261
137.71,111.64,87.538,1.6501,0.6693,0.40588,138.71,112.64,88.539,0.98103,0.96457,0.96032
142.19,115.01,90.714,1.6103,0.66701,0.41494,143.19,116.01,91.714,0.98412,0.96887,0.95562
175.03,138.86,111.6,1.5486,0.62944,0.40658,176.03,139.86,112.6,0.98618,0.98854,0.98471
176.35,140.31,110.9,1.6014,0.63295,0.39546,177.35,141.31,111.9,0.9854,0.96056,0.97316
122.35,99.34,65.833,2.2801,0.65884,0.29479,123.35,100.34,66.833,0.98727,0.9141,0.88962
159.1,128.37,87.115,2.2622,0.65001,0.29393,160.1,129.37,88.117,0.98706,0.9403,0.93472
128.68,103.88,74.253,1.9319,0.65187,0.33843,129.68,104.88,75.253,0.99363,0.91856,0.92362
195.54,157.73,109.72,2.0675,0.65064,0.31488,196.54,158.73,110.72,0.99348,0.96758,0.97159
150.39,106.23,51.577,5.4764,0.47017,0.10284,151.39,107.23,52.881,0.98148,0.96096,0.94432
194.85,144.31,77.071,4.4245,0.53211,0.1446,195.83,145.31,78.176,0.9041,0.93475,0.87551
202.26,142.7,75.779,3.8161,0.49079,0.13655,203.24,143.7,76.797,0.81657,0.95736,0.81963
243.46,168.63,97.183,3.0126,0.48,0.15946,244.17,169.63,98.183,-0.32124,0.96204,-0.1149
78.952,106.73,141.93,0.56495,1.8321,3.2458,79.952,107.73,142.93,0.805,0.84242,0.79209
79.874,108.4,144.65,0.56099,1.8468,3.296,80.874,109.4,145.65,0.81556,0.85376,0.80819
64.684,87.21,116.4,0.56136,1.8179,3.2384,65.684,88.21,117.4,0.81294,0.86558,0.77451
65.114,89.46,120.51,0.5512,1.8876,3.4251,66.114,90.46,121.51,0.9035,0.94749,0.8826
90.098,110.89,142.73,0.60466,1.517,2.5183,91.099,111.89,143.73,0.79827,0.80189,0.76326
91.391,112.51,144.97,0.60348,1.5182,2.5258,92.391,113.51,145.97,0.75271,0.76632,0.73559
87.549,111.51,146.15,0.58209,1.6222,2.7869,88.549,112.51,147.15,0.69743,0.65724,0.70416
87.264,111.44,146.52,0.5785,1.6309,2.8192,88.264,112.44,147.52,0.64276,0.66311,0.67458
140.04,121.97,105.15,1.3983,0.76222,0.57631,137.99,121.07,106.15,0.98077,0.97352,0.94628
159.78,129.16,101.25,1.629,0.6542,0.40704,160.56,130.16,102.25,0.98271,0.96531,0.92725
117.92,101.31,83.342,1.4456,0.76935,0.56125,118.09,102.01,84.342,0.98426,0.97111,0.94347
151.43,122.64,97.663,1.596,0.65641,0.42212,152.1,123.64,98.663,0.98053,0.95548,0.9036
130.73,125.68,128.79,0.91016,1.0222,1.3444,130.97,126.63,129.79,0.97283,0.94562,0.88296
119.83,124.25,135.85,0.79449,1.2131,1.7063,120.85,125.25,136.85,0.98723,0.98126,0.95317
64.657,82.747,108.19,0.58314,1.6432,2.8213,65.657,83.747,109.19,0.99449,0.99691,0.98986
62.291,81.027,106.61,0.57752,1.6927,2.9314,63.302,82.027,107.61,0.99551,0.99553,0.98949
76.653,93.975,120.12,0.61323,1.5184,2.5891,77.611,94.973,121.12,0.94439,0.94491,0.92323
74,91.297,116.65,0.61683,1.5133,2.5114,74.979,92.295,117.65,0.93162,0.92974,0.92461
96.253,120.8,153.84,0.61663,1.5752,2.5546,97.253,121.8,154.84,0.69929,0.61388,0.67591
95.535,120.44,153.32,0.61713,1.5894,2.5755,96.535,121.44,154.32,0.69513,0.63595,0.72867
219.97,221.51,225.59,0.94078,1.0312,1.1278,217.87,218.78,223.15,0.98915,0.98832,0.97053
80.251,90.907,110.17,0.67343,1.3056,1.9695,81.251,91.907,111.17,0.99129,0.9889,0.97543
222.42,223.92,227.67,0.94756,1.0284,1.1097,220.38,221.22,225.33,0.99129,0.9889,0.97543
75.446,87.462,108.53,0.64459,1.3583,2.1329,76.446,88.462,109.53,0.98915,0.98832,0.97053
149.23,143.48,145.45,0.97462,0.92296,0.94815,150.23,144.48,146.45,0.89053,0.89158,0.87695
152.11,147.4,150.49,0.95975,0.93602,0.97566,153.11,148.4,151.49,0.89092,0.90401,0.89163
165.97,162.59,166.16,0.95756,0.95732,1.0003,166.97,163.59,167.16,0.85594,0.87253,0.83583
164.65,159.04,161.41,0.9726,0.9284,0.95532,165.65,160.04,162.41,0.92293,0.90465,0.88113
81.927,76.581,79.354,0.8784,0.8146,0.92554,82.927,77.621,80.355,0.93435,0.917,0.92775
163.26,159.5,162.42,0.96569,0.94856,0.98282,164.26,160.5,163.42,0.96225,0.96456,0.94771
116.28,111.76,111.85,0.99909,0.92367,0.92497,117.28,112.76,112.85,0.67477,0.59973,0.63771
175.99,174.8,177.63,0.97017,0.98057,1.0111,176.99,175.8,178.63,0.93345,0.92827,0.93963
128.62,117.56,108.71,1.1951,0.82402,0.69898,128.97,117.41,108.09,0.92612,0.89234,0.90858
166.83,160.36,155.02,1.0856,0.91439,0.84928,167.2,160.9,155.61,0.95399,0.94489,0.94056
126.46,115.05,106.14,1.1977,0.81565,0.68983,126.99,114.9,105.39,0.92916,0.87856,0.91451
160.45,153.76,147.9,1.0942,0.91095,0.83863,161.45,154.76,148.9,0.94774,0.9307,0.93221
176.26,174.43,174.18,0.9988,1.0231,1.0348,177.26,175.43,175.18,0.83117,0.78994,0.82434
146.21,138.49,133.9,1.1104,0.87227,0.80435,147.21,139.49,134.9,0.86652,0.8592,0.85767
189.44,185.03,183.74,1.0142,0.95379,0.94044,190.44,186.03,184.74,0.76379,0.67479,0.76082
126.67,118.53,114.28,1.0955,0.85143,0.78419,127.67,119.53,115.28,0.98901,0.98294,0.97767
154.33,144.79,137.35,1.2161,0.84813,0.75015,155.33,145.79,138.35,0.80109,0.73678,0.78438
176.04,166.81,164.74,1.0937,0.88052,0.84965,177.04,167.81,165.74,0.88215,0.81033,0.85021
153.15,145.03,139.26,1.1397,0.86729,0.78598,154.15,146.03,140.26,0.8198,0.78243,0.82067
