f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12
30.972,30.431,28.657,1.2457,0.98343,0.7986,31.902,31.363,29.6,0.84411,0.85651,0.84448
14.157,13.922,12.812,1.2274,0.9796,0.80025,15.157,14.922,13.814,0.841,0.82186,0.80391
21.601,21.166,18.06,1.3713,0.96235,0.70202,22.601,22.166,19.06,0.85982,0.89482,0.86676
8.1755,7.8441,7.2203,1.1758,0.91139,0.77464,9.1813,8.8571,8.2382,0.81415,0.79416,0.77459
109.93,109.36,110.97,0.97031,0.98573,1.0212,110.93,110.38,111.97,0.93984,0.94765,0.9462
109.62,110.54,115.5,0.91523,1.0147,1.1105,110.78,112.07,116.5,0.97885,0.98312,0.9811
134.98,134.39,137.23,0.9587,0.99189,1.0356,135.94,135.42,138.23,0.96826,0.97635,0.97416
112.62,112.59,117.22,0.92123,0.99112,1.0755,113.63,113.62,118.22,0.9627,0.97644,0.96944
34.614,33.927,32.299,1.2555,0.97552,0.78862,35.546,34.887,33.26,0.84501,0.84906,0.83647
15.661,15.597,14.184,1.3258,1.0279,0.7821,16.654,16.589,15.178,0.8291,0.82069,0.80393
20.846,20,17.049,1.3878,0.9362,0.67483,21.846,21,18.05,0.86519,0.87563,0.85124
8.18,8.0907,6.9769,1.3299,0.9666,0.72721,9.181,9.0958,7.9976,0.82015,0.7773,0.77992
34.866,34.088,32.526,1.2296,0.96458,0.79283,35.794,35.041,33.483,0.84048,0.8464,0.82323
15.744,15.748,14.242,1.3352,1.038,0.78254,16.738,16.741,15.232,0.84406,0.81895,0.80311
21.063,19.731,17.646,1.258,0.89129,0.70853,22.063,20.731,18.647,0.87017,0.88248,0.84909
8.3381,8.2149,7.1248,1.3097,0.9515,0.72655,9.3381,9.22,8.126,0.81532,0.79374,0.74612
60.801,58.681,58.72,1.0371,0.92756,0.89875,61.777,59.659,59.686,0.89617,0.89519,0.87504
66.026,64.016,65.219,1.0115,0.90466,0.89842,66.578,64.581,65.643,0.89745,0.89777,0.87798
12.879,12.899,11.955,1.1679,1.0061,0.86489,13.88,13.899,12.956,0.69675,0.65952,0.59234
12.104,11.601,11.316,1.0521,0.92607,0.87935,13.105,12.602,12.317,0.66528,0.70254,0.63347
114.8,113.45,114.1,0.97954,0.97531,1.0022,115.66,114.45,115.03,0.97309,0.97291,0.97157
127.27,126.73,128.2,0.96704,0.99368,1.0324,128.15,127.6,129.16,0.98674,0.98363,0.9872
136.08,137.9,142.99,0.93058,1.0267,1.1044,137.1,138.9,143.99,0.96129,0.95673,0.95582
136.76,138,142.84,0.93272,1.0177,1.0916,137.77,139.03,143.86,0.96593,0.97029,0.96853
