f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12
92.294,101.68,50.082,2.0303,1.1017,0.54263,93.294,102.68,51.1,0.97597,0.88484,0.86381
57.742,59.637,58.869,1.013,1.0328,1.0195,58.742,60.637,59.869,0.98376,0.97824,0.97233
117.38,96.972,64.347,1.507,0.82611,0.54818,118.38,97.972,65.371,0.91219,0.89318,0.81337
153.36,136.24,114.82,1.1865,0.88839,0.74873,154.34,137.25,115.96,0.93323,0.94971,0.80976
172.76,170.08,156.69,1.0855,0.98453,0.90698,173.69,171.05,157.66,0.98419,0.88614,0.85827
205.16,183.19,159.87,1.1459,0.89292,0.77923,206.02,184.18,160.95,0.91256,0.9722,0.91139
105.83,128.96,75.355,1.7113,1.2185,0.71206,106.83,129.96,76.398,0.89338,0.79297,0.91651
190.07,150.84,129.13,1.1681,0.79358,0.67935,191.07,151.84,130.13,0.77388,0.9229,0.60688
123.84,106.21,73.624,1.4426,0.85759,0.59449,124.85,107.21,74.767,0.92439,0.94674,0.90061
185.4,141.57,99.278,1.426,0.76361,0.53548,186.4,142.57,100.29,0.94708,0.95767,0.84331
187.91,137.28,90.516,1.5166,0.73056,0.48171,188.91,138.28,91.564,0.92646,0.95878,0.84361
191.94,165.54,121.99,1.357,0.86248,0.63559,192.93,166.54,123,0.90072,0.89668,0.91188
159.47,141.36,91.034,1.5528,0.88644,0.57085,160.47,142.36,92.054,0.8676,0.84506,0.86391
146.64,145.16,89.075,1.6296,0.98986,0.60743,147.64,146.16,90.077,0.69758,0.85854,0.7561
184.41,151.65,112.04,1.3536,0.82237,0.60755,185.4,152.65,113.07,0.93478,0.96161,0.89059
190.74,155.11,114.25,1.3576,0.81323,0.59901,191.73,156.11,115.27,0.89153,0.92467,0.76958
191.4,210.82,203.02,1.0384,1.1014,1.0607,192.4,211.82,204.02,0.48995,0.91602,0.1955
125.06,115.24,111.16,1.0367,0.9215,0.88886,126.06,116.24,112.16,0.96831,0.97399,0.89887
