f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12
66.543,90.583,33.467,2.7066,1.3613,0.50294,67.557,91.583,36.56,0.97508,0.87301,0.88974
39.461,43.532,51.871,0.83922,1.1032,1.3145,40.463,44.532,53.178,0.97138,0.93462,0.91433
72.38,70.403,72.912,0.96558,0.97268,1.0074,73.38,71.403,73.919,0.92584,0.87915,0.69272
49.346,66.29,41.861,1.5836,1.3434,0.84833,50.591,67.29,44.441,0.92318,0.76962,0.92189
114.6,112.01,113.91,0.98325,0.97737,0.99402,115.6,113.01,114.91,0.94673,0.97429,0.95035
68.075,71.397,38.19,1.8695,1.0488,0.561,69.075,72.397,43.831,0.97118,0.81579,0.8711
99.818,90.479,66.974,1.3509,0.90644,0.67096,100.82,91.479,69.706,0.9335,0.86773,0.79883
92.092,92.643,69.674,1.3297,1.006,0.75657,93.092,93.643,70.692,0.90684,0.66801,0.8447
146.7,149.51,104.97,1.4243,1.0191,0.71555,147.7,150.51,105.97,0.83529,0.92903,0.92971
136.38,116.73,106.66,1.0945,0.85593,0.78206,137.38,117.73,107.66,0.94699,0.96139,0.96235
88.245,64.174,33.023,1.9433,0.72722,0.37422,89.245,65.174,34.6,0.91086,0.86028,0.82216
122.17,119.74,59.978,1.9965,0.98017,0.49096,123.17,120.74,61.034,0.7582,0.85539,0.8461
96.395,80.609,45.188,1.7839,0.83623,0.46878,97.395,81.609,51.952,0.93982,0.89346,0.91081
159.49,145.4,127.9,1.1368,0.91168,0.80197,160.49,146.4,128.91,0.97224,0.98607,0.94848
92.704,86.519,80.26,1.078,0.93329,0.86577,93.704,87.519,81.26,0.96276,0.93586,0.83042
138.05,122.22,106.54,1.1472,0.88531,0.77169,139.05,123.22,107.65,0.93627,0.91651,0.93743
130.8,124,89.078,1.3921,0.948,0.68101,131.8,125,90.719,0.96866,0.96044,0.97085
117.47,108.55,65.899,1.6473,0.9241,0.56099,118.47,109.55,67.294,0.95138,0.91656,0.97087
106.97,92.313,54.577,1.6914,0.86302,0.51024,107.97,93.313,61.15,0.93675,0.73223,0.84043
