f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12
77.609,85.581,39.656,2.1581,1.1027,0.51098,78.62,86.587,41.032,0.97753,0.87589,0.87595
89.97,90.172,95.999,0.9393,1.0022,1.067,90.97,91.172,97.005,0.98673,0.93918,0.946
110.86,83.149,52.016,1.5985,0.75006,0.46922,111.86,84.149,53.026,0.94989,0.89963,0.86718
114.92,93.979,73.656,1.2759,0.81776,0.64091,115.92,95.092,75.067,0.9641,0.95471,0.86722
141.66,129.56,112.4,1.1527,0.91463,0.79347,142.65,130.56,113.4,0.99246,0.9299,0.90939
178.78,150.67,128.18,1.1755,0.84276,0.71695,179.78,151.67,129.18,0.93835,0.97609,0.93518
95.433,103.53,52.089,1.9877,1.0849,0.54581,96.433,104.53,53.254,0.91851,0.81631,0.94088
180.85,137.46,118.06,1.1644,0.76011,0.6528,181.85,138.46,119.06,0.78864,0.93546,0.66564
121.56,95.071,59.56,1.5962,0.78209,0.48997,122.56,96.071,60.861,0.93568,0.93757,0.92125
168.54,124.04,83.516,1.4852,0.736,0.49554,169.54,125.04,84.527,0.98112,0.97712,0.93688
184.12,139.56,99.59,1.4014,0.75799,0.54089,185.12,140.56,100.6,0.94976,0.96878,0.89203
188.76,163.67,120.05,1.3633,0.86707,0.636,189.76,164.67,121.05,0.94624,0.93044,0.96288
162.76,140.68,89.483,1.5721,0.86432,0.54979,163.76,141.68,90.484,0.88892,0.8554,0.91456
141.74,132.51,76.248,1.7379,0.93489,0.53793,142.74,133.51,77.259,0.80124,0.85176,0.82051
177.22,143.69,107.06,1.342,0.81076,0.60412,178.22,144.69,108.07,0.93327,0.96026,0.89931
172.47,137.9,102.49,1.3454,0.79953,0.59426,173.47,138.9,103.51,0.92315,0.93448,0.83611
170.72,189.36,186.37,1.0161,1.1092,1.0917,171.72,190.36,187.37,0.6497,0.88334,0.27932
122.87,113.4,104.02,1.0902,0.92296,0.84661,123.87,114.4,105.03,0.96655,0.97466,0.90342
206.89,188.98,169.29,1.1163,0.91345,0.81826,207.89,189.98,170.29,0.95035,0.96371,0.92622
161.42,149.35,94.44,1.5815,0.92527,0.58506,162.42,150.35,95.448,0.94055,0.86209,0.92608
153.51,139.84,84.711,1.6508,0.91098,0.55184,154.51,140.84,85.827,0.95909,0.82164,0.86535
152.56,124.85,99.745,1.2517,0.81835,0.65381,153.55,125.85,100.75,0.90125,0.87912,0.78823
185.29,181.73,123.97,1.4659,0.98078,0.66908,186.28,182.73,124.97,0.97182,0.8782,0.88873
143.48,124.71,103.13,1.2093,0.86917,0.71876,144.48,125.71,104.17,0.98971,0.98135,0.96432
116.13,90.49,54.203,1.6694,0.77923,0.46676,117.13,91.49,55.485,0.94571,0.88789,0.87953
104.55,102.23,53.798,1.9003,0.97782,0.51457,105.55,103.23,55.016,0.86337,0.78396,0.8873
110.24,122.05,52.148,2.3404,1.1071,0.47303,111.24,123.05,53.149,0.99754,0.98017,0.98079
123.1,113.17,100.22,1.1292,0.91938,0.81416,124.1,114.17,101.22,0.92627,0.93968,0.94264
84.698,95.743,35.227,2.7179,1.1304,0.41591,85.769,96.791,36.691,0.98499,0.86406,0.90175
62.976,57.842,35.525,1.6282,0.91849,0.5641,63.976,58.842,36.555,0.80399,0.65828,0.91374
106.17,119.69,41.059,2.9151,1.1274,0.38675,107.17,120.69,42.146,0.9658,0.83558,0.87244
63.166,76.712,17.14,4.4756,1.2144,0.27135,64.166,77.712,18.494,0.98248,0.80013,0.80698
93.021,109.64,36.318,3.0188,1.1786,0.39043,94.021,110.64,37.96,0.96893,0.51422,0.50063
139.37,125.26,114.97,1.0896,0.89877,0.82489,140.37,126.26,115.97,0.97469,0.94676,0.86482
161.7,138.63,120.44,1.151,0.85729,0.74485,162.7,139.63,121.44,0.88281,0.61963,0.19995
164.35,139.64,121.68,1.1476,0.8497,0.74041,165.35,140.64,122.69,0.96929,0.99091,0.95192
