f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12
102.64,112.14,55.575,4.1348,1.2005,0.299,103.64,113.14,56.575,0.87457,0.77381,0.71383
101.63,110.78,53.606,4.4764,1.1947,0.28115,102.63,111.78,54.617,0.90695,0.79521,0.75612
102.98,109.78,51.389,4.5646,1.1368,0.24906,103.98,110.78,52.389,0.8451,0.78767,0.76815
101.37,110.89,51.504,4.6491,1.1973,0.25798,102.37,111.89,52.505,0.93628,0.89639,0.85926
66.185,67.155,66.681,1.0122,1.0357,1.0241,67.185,68.155,67.681,0.8567,0.93231,0.86471
53.539,56.073,53.752,1.4933,1.1526,0.95307,54.539,57.073,54.752,0.8733,0.92734,0.88328
55.973,57.127,57.104,1.0009,1.0418,1.0409,56.973,58.127,58.104,0.84744,0.93664,0.87992
58.644,60.246,60.393,0.99509,1.0554,1.0607,59.644,61.246,61.393,0.83049,0.92325,0.87311
106.11,94.161,66.262,1.9747,0.7632,0.39685,107.11,95.162,67.326,0.94965,0.94027,0.91624
121.02,110.27,66.924,2.8068,0.82793,0.3112,122.02,111.27,67.94,0.93383,0.85582,0.8158
122.04,99.32,74.71,1.769,0.65356,0.37052,123.04,100.32,75.71,0.96599,0.97181,0.91105
103.05,85.302,58.183,2.1953,0.67999,0.3148,104.05,86.302,59.186,0.95327,0.91188,0.89306
155.84,132.25,104.26,1.6189,0.72044,0.44775,156.71,133.23,105.39,0.95463,0.97174,0.88991
148.3,127.7,102.52,1.5584,0.74722,0.48655,149.19,128.71,103.71,0.95178,0.97205,0.88948
156.65,135.38,107.78,1.5779,0.74702,0.47358,157.65,136.38,108.82,0.9423,0.97176,0.87801
124.5,117.1,103.06,1.3006,0.89327,0.70332,125.5,118.1,104.15,0.93139,0.96323,0.83164
203.93,198.86,183.77,1.1907,0.95201,0.82025,202.92,198.34,183.2,0.9107,0.93501,0.81702
206.11,200.87,172.36,1.4074,0.95209,0.70589,205.62,201.14,172.79,0.89309,0.91341,0.80709
177.51,175.11,169.4,1.0686,0.97321,0.91077,178.51,176.11,170.4,0.93611,0.95182,0.90662
181.69,177.42,169.76,1.0924,0.95366,0.87306,182.69,178.42,170.76,0.94111,0.95189,0.89937
