f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12
79.208,105.84,42.858,6.5291,1.8116,0.30781,80.208,106.84,43.859,0.85447,0.77848,0.80745
80.291,106.43,42.996,6.686,1.7812,0.2975,81.291,107.43,44.225,0.89141,0.81405,0.82285
73.349,96.97,35.675,7.4274,1.7487,0.23681,74.349,97.97,36.677,0.87635,0.83646,0.82346
78.14,105.38,36.397,8.5283,1.8231,0.21769,79.14,106.38,37.525,0.93185,0.90865,0.88682
40.171,43.542,51.721,0.70633,1.185,1.6852,41.171,44.542,52.721,0.86081,0.88394,0.82186
40.774,45.192,53.724,0.82203,1.2422,1.753,41.775,46.192,54.949,0.88801,0.91445,0.85522
35.181,39.055,47.609,0.67296,1.2327,1.8318,36.181,40.055,48.609,0.89191,0.89635,0.84888
38.399,42.987,52.595,0.66774,1.2533,1.877,39.399,43.987,53.595,0.88684,0.92748,0.87243
77.739,73.553,73.678,1.0054,0.89451,0.90796,78.739,74.553,74.683,0.97939,0.9614,0.93343
86.907,78.162,70.256,1.6852,0.81762,0.71581,87.907,79.162,71.269,0.93538,0.84575,0.74995
69.354,62.603,62.91,0.99727,0.82744,0.8531,70.354,63.603,63.91,0.94948,0.94078,0.83811
76.216,63.585,58.726,1.1954,0.70737,0.61393,77.216,64.585,59.726,0.83311,0.96893,0.70519
21.551,39.378,12.977,10.549,3.638,0.40257,22.832,40.378,15.314,0.94318,0.80842,0.83196
52.005,80.968,34.502,6.0673,2.7808,0.46152,53.056,81.968,35.917,0.91967,0.79161,0.87496
20.21,35.641,16.081,4.8941,3.1104,0.65576,21.346,36.641,18.017,0.93515,0.88818,0.90043
53.821,78.699,34.725,5.6432,2.3948,0.42958,54.839,79.699,36.314,0.91552,0.82115,0.9169
114.64,111.05,110.23,1.0203,0.93766,0.92401,115.64,112.05,111.23,0.94859,0.98496,0.95234
110.39,107.57,108.62,0.98507,0.94874,0.96549,111.39,108.57,109.62,0.95354,0.98768,0.96375
120.82,122.85,125.61,0.95642,1.0339,1.081,121.82,123.85,126.61,0.92375,0.96191,0.89196
116.9,111.38,116.97,0.90584,0.90759,1.0008,117.9,112.38,117.97,0.86759,0.982,0.91041
54.865,61.381,13.113,77.998,1.3007,0.052705,55.865,62.381,16.006,0.97418,0.61784,0.62048
62.169,69.242,17.292,50.275,1.2609,0.07324,63.169,70.242,20.142,0.96678,0.68412,0.66946
30.88,36.388,3.8538,104.24,1.3901,0.016626,31.88,37.388,6.4242,0.96082,0.53076,0.61995
33.156,37.796,3.8308,122.6,1.2994,0.014751,34.156,38.796,6.5792,0.97157,0.6758,0.73192
95.514,78.688,43.713,5.5755,0.73148,0.18637,96.514,79.688,45.768,0.9519,0.91523,0.93684
107.25,88.536,55.043,4.9715,0.70288,0.23285,108.25,89.536,56.534,0.94214,0.91604,0.93061
144.81,121.94,80.502,2.3228,0.70942,0.30878,145.81,122.94,81.518,0.88994,0.9156,0.92661
154.7,146.02,122.11,1.4678,0.8914,0.62767,155.7,147.02,123.12,0.93491,0.93866,0.83169
