f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12
86.147,95.62,46.296,4.3748,1.2431,0.30249,87.147,96.62,47.296,0.89929,0.78737,0.75528
86.063,94.421,45.271,4.5473,1.2154,0.28514,87.064,95.421,46.364,0.93156,0.80113,0.78903
89.182,96.998,40.994,5.602,1.1831,0.21126,90.182,97.998,41.994,0.88999,0.78921,0.82893
90.092,98.772,42.287,5.4689,1.2023,0.22036,91.092,99.772,43.306,0.93447,0.82847,0.84858
95.91,95.124,100.59,0.89057,0.98788,1.1129,96.91,96.124,101.59,0.94669,0.94299,0.92728
92.319,92.694,97.838,1.0247,1.0248,1.1143,93.319,93.694,98.841,0.95391,0.94116,0.92904
83.502,83.955,90.944,0.85235,1.011,1.1862,84.502,84.955,91.944,0.94664,0.9405,0.93383
86.121,86.817,94.886,0.83723,1.0163,1.2139,87.121,87.817,95.886,0.95238,0.95146,0.93595
87.445,64.431,46.399,1.8184,0.49908,0.2779,88.445,65.431,47.427,0.96823,0.93367,0.93759
121.88,104.51,60.605,3.1316,0.73018,0.25006,122.88,105.51,61.611,0.95667,0.86375,0.85902
101.55,70.741,50.967,1.9263,0.47932,0.25287,102.55,71.741,51.97,0.98357,0.97212,0.94528
110.79,83.279,56.671,2.279,0.56034,0.25416,111.79,84.279,57.675,0.96665,0.91329,0.8898
115.7,87.87,61.104,2.088,0.57567,0.27809,116.68,89.036,62.598,0.97715,0.96959,0.92725
105.86,82.376,60.186,1.8973,0.62126,0.34829,106.85,83.492,61.637,0.96986,0.96921,0.91721
127.27,98.029,67.905,2.0896,0.59305,0.28484,128.26,99.036,69.021,0.96603,0.96829,0.91584
73.016,65.422,56.488,1.3525,0.82411,0.63805,74.016,66.422,57.495,0.95313,0.95223,0.85517
185.98,170.68,151.37,1.2971,0.83585,0.66235,186.96,171.68,152.37,0.93901,0.94059,0.89335
191,174.29,141.53,1.6066,0.82896,0.55705,191.97,175.29,142.53,0.92201,0.93661,0.88732
158.24,142.2,129.45,1.2067,0.80766,0.66936,159.24,143.2,130.45,0.92326,0.92067,0.87587
158.17,140.91,127.34,1.2245,0.79372,0.64834,159.17,141.91,128.34,0.92976,0.91641,0.87357
168.52,145.23,119.16,1.6674,0.71931,0.47802,169.52,146.23,120.16,0.93113,0.9565,0.91163
159.55,140.68,110.78,1.813,0.76953,0.46581,160.55,141.68,111.78,0.90911,0.95954,0.90351
235.39,227.82,220.63,1.0663,0.93667,0.87849,236.39,228.82,221.63,0.96641,0.9802,0.94441
233.83,225.56,218.32,1.0675,0.93048,0.87175,234.83,226.56,219.32,0.96489,0.97744,0.92914
92.151,104.01,40.354,8.3532,1.3004,0.18986,93.151,105.01,41.508,0.94782,0.83695,0.8559
81.169,100.36,33.165,9.5371,1.5497,0.16713,82.169,101.36,34.255,0.91479,0.76027,0.79963
99.803,102.26,62.588,5.5997,1.1348,0.34951,100.8,103.26,63.638,0.94006,0.87719,0.90456
69.952,89.346,28.478,9.9628,1.636,0.16534,70.952,90.346,29.676,0.94055,0.83212,0.84247
179.96,135.27,115.93,1.3611,0.56498,0.41542,180.96,136.27,116.93,0.86836,0.92351,0.83136
188.09,139.03,117.44,1.4009,0.54657,0.39036,189.09,140.03,118.44,0.85374,0.93657,0.80261
180.94,136.18,116.22,1.3724,0.56623,0.41274,181.94,137.18,117.22,0.88947,0.94819,0.86503
186.48,138.18,117.23,1.3875,0.54862,0.39519,187.48,139.18,118.23,0.79298,0.91272,0.70556
107.19,96.19,52.723,5.385,0.84771,0.23606,108.19,97.19,54.316,0.96086,0.91247,0.91696
117.11,83.371,55.293,2.2829,0.50539,0.22339,118.11,84.371,56.3,0.97404,0.97117,0.92556
89.497,81.458,39.77,6.3688,0.93361,0.19054,90.497,82.458,41.451,0.96107,0.91094,0.90482
131.49,93.068,56.866,2.7,0.49928,0.18634,132.49,94.068,57.908,0.98319,0.97206,0.93793
174.59,131.13,91.605,2.0861,0.55999,0.27195,175.59,132.13,92.609,0.96578,0.97207,0.92438
186.36,142.46,100.96,2.0225,0.58138,0.29134,187.36,143.46,101.96,0.97553,0.97811,0.93958
151.71,109.83,72.553,2.2932,0.52404,0.22873,152.71,110.83,73.553,0.98479,0.9798,0.95888
168.4,122.35,80.221,2.3287,0.52768,0.22683,169.4,123.35,81.221,0.9864,0.98141,0.95851
193.28,152.81,111.6,1.8922,0.62628,0.33386,194.28,153.81,112.6,0.96753,0.97047,0.93013
192.33,150.24,110.44,1.8589,0.61093,0.33065,193.33,151.24,111.44,0.97706,0.97454,0.94846
182.96,135.23,93.386,2.0976,0.54608,0.26043,183.96,136.23,94.386,0.98055,0.97782,0.94731
182.22,133.66,94.638,1.9966,0.53788,0.26961,183.22,134.66,95.638,0.98195,0.98069,0.95262
160.52,141.26,90.056,3.0202,0.78971,0.30893,161.52,142.26,91.059,0.95158,0.92199,0.93573
173.21,155.8,103.16,2.7529,0.82505,0.34964,174.21,156.8,104.16,0.94557,0.91546,0.93912
207.61,170.84,133.09,1.6493,0.67702,0.41095,208.61,171.84,134.09,0.98482,0.98483,0.96514
215.9,182.58,147.59,1.5313,0.7151,0.46734,216.9,183.58,148.59,0.98201,0.97951,0.96336
